Date,SPY_Close,SPY_Volume,AGG_Close,AGG_Volume,QQQ_Close,QQQ_Volume,VNQ_Close,VNQ_Volume,IWM_Close,IWM_Volume,VIG_Close,VIG_Volume,IEF_Close,IEF_Volume
2015-07-06,176.99920654296875,117975400,87.60832977294922,1108000,100.59125518798828,24311000,53.862701416015625,5116700,110.13494110107422,27852200,66.53226470947266,763200,89.4970703125,1723300
2015-07-07,178.11231994628906,173820200,87.72908782958984,2502500,100.84345245361328,44230800,54.70661163330078,5921000,110.25955200195312,39347100,67.1548080444336,902500,89.73479461669922,2083900
2015-07-08,175.1240692138672,164020100,87.93846130371094,2892900,99.08753204345703,39691500,54.49562454223633,4941800,108.5773696899414,40724500,66.22944641113281,628300,90.09142303466797,1991200
2015-07-09,175.4408416748047,144113100,87.61639404296875,1932800,99.03146362304688,28381000,54.23544692993164,3312900,108.96897888183594,29770400,66.37245178222656,532800,89.46308898925781,1206900
2015-07-10,177.64993286132812,129456900,87.24609375,2163700,100.54456329345703,26415800,54.68552780151367,4774100,110.4820785522461,28735800,67.08750915527344,823600,88.84331512451172,3719900
2015-07-13,179.61070251464844,106069400,87.11734771728516,1938300,102.30982208251953,25780700,54.76288986206055,2887800,111.7281494140625,21349900,67.78572845458984,497100,88.60558319091797,1322300
2015-07-14,180.38986206054688,81709600,87.26221466064453,1441400,102.9822998046875,21977200,54.87540817260742,2422900,112.35120391845703,21009500,67.9455337524414,662800,88.88575744628906,1321600
2015-07-15,180.3299560546875,97914100,87.49565124511719,1781400,103.09437561035156,28631500,54.966827392578125,2238100,111.75483703613281,22238300,67.81936645507812,452100,89.22537994384766,1239500
2015-07-16,181.77696228027344,106683300,87.56806945800781,1294800,104.55140686035156,29838900,55.40988540649414,2494800,112.42237091064453,33568400,68.20632934570312,625800,89.1914291381836,811400
2015-07-17,181.93106079101562,89030000,87.57616424560547,897600,106.0925064086914,35926800,55.21295166015625,1803100,111.93285369873047,24739900,67.93714141845703,424900,89.19989013671875,881300
2015-07-20,182.02525329589844,70446800,87.42321014404297,1245100,106.45674896240234,26539000,55.2762565612793,2164800,111.32762145996094,23271100,68.00444030761719,390900,89.02161407470703,842500
2015-07-21,181.30604553222656,77965000,87.56806945800781,1191500,106.39139556884766,35468900,55.12153625488281,3540700,110.8024673461914,28118700,67.45764923095703,478500,89.26781463623047,676600
2015-07-22,180.98065185546875,88667900,87.60832977294922,1100000,105.18650817871094,35575000,55.360652923583984,2883500,111.21192932128906,20654200,67.30623626708984,459800,89.37818908691406,523800
2015-07-23,179.96173095703125,90509100,87.85787963867188,1021400,104.79423522949219,25698300,54.671451568603516,3188900,109.983642578125,39712100,66.99494934082031,682400,89.74330139160156,1064800
2015-07-24,178.09515380859375,117755000,87.84181213378906,1192500,103.76685333251953,30844700,54.903526306152344,2800300,108.21244812011719,39533000,66.48181915283203,750600,89.82819366455078,1098400
2015-07-27,177.05914306640625,132361100,87.95450592041016,2666000,102.9075698852539,35994800,55.00199890136719,3003000,107.3134765625,35627200,66.12850952148438,902200,90.12537384033203,1392600
2015-07-28,179.23394775390625,123544800,87.86592102050781,1873200,103.79486846923828,33553500,55.03715515136719,2674000,108.23023223876953,53474800,66.8855972290039,745600,89.87063598632812,6205200
2015-07-29,180.4669189453125,105791300,87.7934799194336,2273500,104.18716430664062,26714100,55.39580535888672,7988100,108.53287506103516,32411300,67.541748046875,568100,89.74330139160156,2107300
2015-07-30,180.50973510742188,91304400,87.80155944824219,1959000,104.68218231201172,25438100,55.12153625488281,2932500,108.8443832397461,29383900,67.541748046875,748500,89.84518432617188,683200
2015-07-31,180.2357177734375,103266900,88.14765930175781,2084300,104.56074523925781,22081700,55.55754852294922,5490400,109.44072723388672,31812700,67.53334045410156,470900,90.37163543701172,1113000
2015-08-03,179.6278533935547,113965700,88.23886108398438,2563900,104.23384094238281,25001800,55.902137756347656,3766400,108.89777374267578,34033200,67.4239730834961,694100,90.6470947265625,2627700
2015-08-04,179.27676391601562,81820800,87.98074340820312,1659900,104.03768920898438,22132300,55.49425506591797,4087300,108.6396713256836,21728900,67.39876556396484,573900,90.17941284179688,1036000
2015-08-05,179.8675994873047,85786800,87.81939697265625,2346600,104.84093475341797,28989900,55.12855529785156,3783100,108.88887023925781,25673500,67.86982727050781,474000,89.83078002929688,1283300
2015-08-06,178.39486694335938,116030800,87.92430114746094,1038100,103.15975189208984,42125400,55.2059211730957,3473300,107.4203109741211,42225300,67.27255249023438,637200,90.14539337158203,731700
2015-08-07,178.05235290527344,117858000,88.07754516601562,2154700,103.02899169921875,30006800,55.40988540649414,3942600,106.69937133789062,42261400,67.01178741455078,817800,90.50260925292969,1533700
2015-08-10,180.29568481445312,80270700,87.96460723876953,1280200,104.20580291748047,21500800,55.23406219482422,2605100,107.9276123046875,28798900,67.66793060302734,401400,90.12837219238281,1123900
2015-08-11,178.66880798339844,126081400,88.2549819946289,1537300,102.87022399902344,36123300,55.59975814819336,4539900,107.0019760131836,33383800,67.12957000732422,534900,90.72364044189453,2263800
2015-08-12,178.8828582763672,172123700,88.198486328125,1563900,103.22515106201172,41889000,55.77557373046875,3229200,106.79727172851562,46500100,67.13797760009766,594100,90.68958282470703,1765700
2015-08-13,178.66024780273438,89383300,88.01302337646484,1571700,103.05699920654297,22510500,55.838863372802734,2381900,106.44121551513672,35698300,67.06226348876953,438100,90.45155334472656,1626500
2015-08-14,179.31103515625,72786500,87.97270202636719,1890500,103.21581268310547,17924900,56.14126205444336,2558200,107.12657165527344,21091500,67.3230209350586,419500,90.35803985595703,612500
2015-08-17,180.31277465820312,79072600,88.12592315673828,1387100,104.0750503540039,21224900,56.61948776245117,2912600,108.2569351196289,22328200,67.64269256591797,410000,90.51954650878906,905300
2015-08-18,179.7904815673828,71692700,87.96460723876953,785400,103.54269409179688,13984400,56.774200439453125,2904800,107.39359283447266,26360400,67.51651763916016,367400,90.375,690400
2015-08-19,178.36915588378906,172946000,88.23886108398438,2184900,102.86085510253906,42511400,56.43663024902344,2401000,106.28102111816406,45178900,66.9781723022461,444600,90.9277114868164,1444500
2015-08-20,174.64459228515625,194327900,88.37596893310547,1075600,100.01219177246094,57747300,56.0217170715332,3999800,103.59309387207031,51879800,65.96868133544922,678800,91.17427825927734,1933300
2015-08-21,169.38735961914062,346588500,88.52919006347656,2443400,95.64110565185547,97763400,54.980892181396484,4126300,102.38260650634766,79168300,64.05908966064453,2333800,91.53995513916016,2123600
2015-08-24,162.25498962402344,507244300,88.49694061279297,5440200,91.96115112304688,150829900,52.406944274902344,10864500,98.38628387451172,83809200,61.29988479614258,5626400,91.69304656982422,3074800
2015-08-25,160.34559631347656,369833100,88.28724670410156,4070000,91.61555480957031,75088300,50.96525955200195,9163900,97.62973022460938,59240200,60.82878112792969,1799900,91.19129943847656,2925500
2015-08-26,166.50186157226562,339257000,87.87588500976562,3994200,96.22949981689453,104103800,52.343666076660156,5067500,100.11297607421875,51605300,62.91505432128906,2052700,90.63008117675781,3512900
2015-08-27,170.6202850341797,274143900,87.99683380126953,4040500,98.66725158691406,69377700,53.356346130371094,5627400,101.90196228027344,49533700,64.11796569824219,1147900,90.57905578613281,1414100
2015-08-28,170.62889099121094,160414400,87.91620635986328,4774600,98.64856719970703,49919600,53.27900695800781,3881100,102.9077377319336,41601400,64.05072021484375,1138400,90.5960693359375,1998000
2015-08-31,169.25033569335938,163298800,87.85169219970703,4145600,97.42503356933594,39549400,52.06236267089844,6197200,102.53390502929688,29250900,63.57118606567383,1395300,90.44303894042969,5431600
2015-09-01,164.19859313964844,256000400,88.11190795898438,3386000,94.3802261352539,73155500,51.07075881958008,7218400,99.59674072265625,45129200,61.9392204284668,1107700,90.84925842285156,3749700
2015-09-02,167.31529235839844,160269300,87.99877166748047,3442000,97.04207611083984,43963600,51.598201751708984,5018500,101.3857421875,26865800,62.94869613647461,1333000,90.60228729248047,2441700
2015-09-03,167.4351348876953,152087800,88.12811279296875,1935100,96.56575775146484,45131800,51.738861083984375,3712600,101.22553253173828,33334500,63.1169319152832,744900,90.8237533569336,1791300
2015-09-04,164.90072631835938,207081000,88.31398010253906,1748100,95.41693115234375,49379600,50.775394439697266,4262900,100.46009826660156,31154600,62.19157028198242,805100,91.10482025146484,1421300
2015-09-08,169.0448455810547,116025700,88.1038818359375,2130400,98.10684967041016,37343500,51.54193115234375,3004500,102.75646209716797,29916300,63.680545806884766,935800,90.7044677734375,1583500
2015-09-09,166.78439331054688,149347700,88.13617706298828,2891400,97.00473022460938,47146700,50.95120620727539,3338100,101.57266998291016,40963000,62.80567932128906,630200,90.7385482788086,1397200
2015-09-10,167.6920166015625,158611100,88.03917694091797,2564400,98.06014251708984,47686700,51.06372833251953,4609500,102.0354995727539,29877900,62.86455535888672,794300,90.53416442871094,1601600
2015-09-11,168.45408630371094,119691200,88.144287109375,2001600,98.60186004638672,29106100,52.041263580322266,3892500,102.51611328125,27949400,63.14215850830078,724800,90.7726058959961,1069000
2015-09-14,167.82899475097656,79452000,88.16849517822266,1543600,98.30296325683594,19718800,52.06938552856445,3040500,102.04438018798828,22365800,62.788841247558594,1273400,90.85779571533203,897500
2015-09-15,169.92678833007812,113806200,87.7724838256836,1541200,99.46112060546875,30020200,52.58277130126953,2737200,103.19253540039062,26745300,63.57118606567383,491800,90.14238739013672,1903000
2015-09-16,171.39944458007812,99581600,87.6997299194336,1810100,100.02153778076172,31329100,53.14537048339844,3318500,104.08260345458984,27127800,64.01705932617188,622900,90.11683654785156,1305300
2015-09-17,171.01416015625,276046600,88.24934387207031,1955400,100.05887603759766,56139800,53.750186920166016,6337800,104.43859100341797,50405400,63.983375549316406,692500,90.86627960205078,2394300
2015-09-18,168.21954345703125,223657500,88.3220443725586,4510600,98.6357650756836,48384000,53.658756256103516,5798800,102.9967269897461,42736100,62.9066162109375,741200,91.29214477539062,2074200
2015-09-21,169.0888214111328,105726200,88.08768463134766,2325800,98.94474792480469,35772600,54.115875244140625,3176300,102.80984497070312,33021700,63.31043243408203,714400,90.7726058959961,1591700
2015-09-22,166.8940887451172,153890900,88.29782104492188,2044800,97.46543884277344,47359700,53.433719635009766,2963500,101.25224304199219,35786900,62.57854461669922,824700,91.22401428222656,1395500
2015-09-23,166.62725830078125,92790600,88.22509002685547,1562100,97.54033660888672,21775100,53.768978118896484,3708700,100.94961547851562,25506800,62.369503021240234,630600,91.12176513671875,1364300
2015-09-24,166.0247802734375,159378800,88.33819580078125,2700000,97.18455505371094,38284300,53.26465606689453,3707600,100.7805404663086,39810300,62.24259567260742,935200,91.2580795288086,1393000
2015-09-25,165.98178100585938,155054800,88.1846694946289,1225500,96.36064910888672,44700000,53.47773742675781,3330000,99.4541015625,43750300,62.386470794677734,693400,91.01959228515625,1564000
2015-09-28,161.8161163330078,178515900,88.39485931396484,1884400,93.61736297607422,44077500,52.64672088623047,4094600,96.66917419433594,56765300,61.28630447387695,1926500,91.53914642333984,1926000
2015-09-29,161.9107666015625,159045600,88.53215789794922,1506800,93.13050842285156,49315500,53.207862854003906,3784900,95.98186492919922,49980700,61.49785614013672,1100700,91.8542709350586,2460900
