Date,Close_US1M
2020-01-20,1.539
2020-01-17,1.534
2020-01-16,1.514
2020-01-15,1.534
2020-01-14,1.529
2020-01-13,1.527
2020-01-10,1.522
2020-01-09,1.519
2020-01-08,1.504
2020-01-07,1.514
2020-01-06,1.532
2020-01-03,1.524
2020-01-02,1.532
2020-01-01,1.486
2019-12-31,1.478
2019-12-30,1.509
2019-12-27,1.575
2019-12-26,1.552
2019-12-25,1.557
2019-12-24,1.555
2019-12-23,1.568
2019-12-20,1.56
2019-12-19,1.527
2019-12-18,1.56
2019-12-17,1.552
2019-12-16,1.568
2019-12-13,1.557
2019-12-12,1.547
2019-12-11,1.524
2019-12-10,1.527
2019-12-09,1.537
2019-12-06,1.519
2019-12-05,1.522
2019-12-04,1.603
2019-12-03,1.618
2019-12-02,1.652
2019-11-29,1.652
2019-11-28,1.655
2019-11-27,1.651
2019-11-26,1.631
2019-11-25,1.598
2019-11-22,1.588
2019-11-21,1.572
2019-11-20,1.567
2019-11-19,1.567
2019-11-18,1.598
2019-11-15,1.598
2019-11-14,1.575
2019-11-13,1.555
2019-11-12,1.56
2019-11-11,1.56
2019-11-08,1.56
2019-11-07,1.537
2019-11-06,1.537
2019-11-05,1.56
2019-11-04,1.593
2019-11-01,1.593
2019-10-31,1.547
2019-10-30,1.621
2019-10-29,1.659
2019-10-28,1.746
2019-10-25,1.746
2019-10-24,1.746
2019-10-23,1.748
2019-10-22,1.759
2019-10-21,1.766
2019-10-18,1.756
2019-10-17,1.73
2019-10-16,1.728
2019-10-15,1.746
2019-10-14,1.756
2019-10-11,1.764
2019-10-10,1.707
2019-10-09,1.692
2019-10-08,1.674
2019-10-07,1.766
2019-10-04,1.764
2019-10-03,1.715
2019-10-02,1.746
2019-10-01,1.802
2019-09-30,1.947
2019-09-27,1.95
2019-09-26,1.807
2019-09-25,1.835
2019-09-24,1.904
2019-09-23,1.96
2019-09-20,1.963
2019-09-19,1.95
2019-09-18,1.957
2019-09-17,2.105
2019-09-16,2.098
2019-09-13,1.98
2019-09-12,2.011
2019-09-11,2.018
2019-09-10,2.039
2019-09-09,2.052
2019-09-06,2.049
2019-09-05,2.041
2019-09-04,2.049
2019-09-03,2.067
2019-09-02,2.093
2019-08-30,2.093
2019-08-29,2.069
2019-08-28,2.064
2019-08-27,2.075
2019-08-26,2.1
2019-08-23,2.093
2019-08-22,2.051
2019-08-21,2.052
2019-08-20,2.064
2019-08-19,2.065
2019-08-16,2.059
2019-08-15,1.994
2019-08-14,1.985
2019-08-13,2.059
2019-08-12,2.08
2019-08-09,2.077
2019-08-08,2.039
2019-08-07,2.016
2019-08-06,2.044
2019-08-05,2.07
2019-08-02,2.118
2019-08-01,2.072
2019-07-31,1.995
2019-07-30,2.075
2019-07-29,2.121
2019-07-26,2.144
2019-07-25,2.102
2019-07-24,2.082
2019-07-23,2.11
2019-07-22,2.121
2019-07-19,2.123
2019-07-18,2.105
2019-07-17,2.133
2019-07-16,2.166
2019-07-15,2.174
2019-07-12,2.161
2019-07-11,2.164
2019-07-10,2.184
2019-07-09,2.223
2019-07-08,2.233
2019-07-05,2.258
2019-07-04,2.241
2019-07-03,2.235
2019-07-02,2.212
2019-07-01,2.177
2019-06-28,2.182
2019-06-27,2.105
2019-06-26,2.103
2019-06-25,2.11
2019-06-24,2.118
2019-06-21,2.161
2019-06-20,2.1
2019-06-19,2.148
2019-06-18,2.187
2019-06-17,2.22
2019-06-14,2.228
2019-06-13,2.176
2019-06-12,2.179
2019-06-11,2.263
2019-06-10,2.304
2019-06-07,2.32
2019-06-06,2.291
2019-06-05,2.301
2019-06-04,2.34
2019-06-03,2.348
2019-05-31,2.363
2019-05-30,2.357
2019-05-29,2.347
2019-05-28,2.353
2019-05-27,2.368
2019-05-24,2.373
2019-05-23,2.35
2019-05-22,2.358
2019-05-21,2.37
2019-05-20,2.386
2019-05-17,2.401
2019-05-16,2.365
2019-05-15,2.403
2019-05-14,2.414
